Reference,Value,Footprint,Datasheet,additional parts,digikey,digikey_alt,Manufacturer Part Number,specs
U31,74_1G79,TO_SOT_Packages_SMD:SOT-23-5,https://rocelec.widen.net/view/pdf/3dcfkklbla/NEXP-S-A0003511411-1.pdf,,1727-6079-1-ND,,"74LVC1G79GV,125",
U40,74_3257,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,https://www.onsemi.com/pdf/datasheet/74fst3257-d.pdf,,74FST3257DTR2GOSCT-ND,,74FST3257DTR2G,
U41,74_3257,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,https://www.onsemi.com/pdf/datasheet/74fst3257-d.pdf,,74FST3257DTR2GOSCT-ND,,74FST3257DTR2G,
U90,AZ1117-3.3,TO_SOT_Packages_SMD:SOT-223-3_TabPin2,https://www.diodes.com/assets/Datasheets/AZ1117I.pdf,,AZ1117IH-3.3TRG1DICT-ND,,AZ1117IH-3.3TRG1,
U10C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U11C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U12C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U13C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U14C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U15C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U1C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U20C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U21C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U22C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U23C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U24C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U25C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U3C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U3XC1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U40C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U41C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U5C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U6C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U7C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U8C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U90C1,1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
U90C2,1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
UX1,10MHz,Oscillators:Oscillator_SMD_EuroQuartz_XO53-4pin_5.0x3.2mm,https://ecsxtal.com/store/pdf/ecs-3961_3963.pdf,,XC1898CT-ND,,ECS-3961-100-AU-TR,
UX2,74_163,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,https://www.ti.com/lit/ds/scls405f/scls405f.pdf,,296-12347-1-ND,,SN74LV163APWR,
UX1C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
UX2C1,0.1uF,Capacitors_SMD:C_0603,~,,,,,"SMD 0603 X5R, X7R, 10V minimum"
